sample_id,scene_id,input_path,sensor,row_start,row_stop,col_start,col_stop,label,confidence,source,split,notes
sample_0011,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,0,64,256,320,wet,0.86,manual_ui,train,wet candidate 7 provisional
sample_0012,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,0,64,384,448,wet,0.84,manual_ui,train,wet candidate 8 provisional
sample_0013,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,16,80,512,576,wet,0.82,manual_ui,train,wet candidate 9 provisional
sample_0014,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,16,80,640,704,wet,0.8,manual_ui,train,wet candidate 10 provisional
sample_0015,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,16,80,768,832,wet,0.78,manual_ui,train,wet candidate 11 provisional
sample_0016,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,16,80,896,960,wet,0.76,manual_ui,train,wet candidate 12 provisional
sample_0017,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,32,96,1024,1088,wet,0.74,manual_ui,train,wet candidate 13 provisional
sample_0018,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,32,96,1152,1216,wet,0.72,manual_ui,train,wet candidate 14 provisional
sample_0019,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,32,96,1280,1344,wet,0.7,manual_ui,val,wet candidate 15 provisional
sample_0020,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,32,96,1408,1472,wet,0.68,manual_ui,val,wet candidate 16 provisional
sample_0021,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,48,112,1536,1600,wet,0.66,manual_ui,val,wet candidate 17 provisional
sample_0022,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,48,112,1664,1728,wet,0.64,manual_ui,test,wet candidate 18 provisional
sample_0023,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,48,112,1792,1856,wet,0.62,manual_ui,test,wet candidate 19 provisional
sample_0024,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,48,112,1920,1984,wet,0.6,manual_ui,test,wet candidate 20 provisional
sample_0025,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,0,64,2048,2112,dry,0.9,manual_ui,train,dry candidate 5 provisional
sample_0026,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,0,64,2176,2240,dry,0.88,manual_ui,train,dry candidate 6 provisional
sample_0027,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,0,64,2304,2368,dry,0.86,manual_ui,train,dry candidate 7 provisional
sample_0028,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,0,64,2432,2496,dry,0.84,manual_ui,train,dry candidate 8 provisional
sample_0029,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,16,80,2560,2624,dry,0.82,manual_ui,train,dry candidate 9 provisional
sample_0030,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,16,80,2688,2752,dry,0.8,manual_ui,train,dry candidate 10 provisional
sample_0031,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,16,80,2816,2880,dry,0.78,manual_ui,train,dry candidate 11 provisional
sample_0032,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,16,80,2944,3008,dry,0.76,manual_ui,train,dry candidate 12 provisional
sample_0033,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,32,96,3072,3136,dry,0.74,manual_ui,train,dry candidate 13 provisional
sample_0034,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,32,96,3200,3264,dry,0.72,manual_ui,train,dry candidate 14 provisional
sample_0035,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,48,112,2048,2112,dry,0.7,manual_ui,val,dry candidate 15 provisional
sample_0036,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,48,112,2176,2240,dry,0.68,manual_ui,val,dry candidate 16 provisional
sample_0037,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,48,112,2304,2368,dry,0.66,manual_ui,val,dry candidate 17 provisional
sample_0038,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,48,112,2432,2496,dry,0.64,manual_ui,test,dry candidate 18 provisional
sample_0039,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,64,128,2560,2624,dry,0.62,manual_ui,test,dry candidate 19 provisional
sample_0040,EO1H0581152011356110P1_crop_rm_badbands,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Datasets/EO1H0581152011356110P1_1GST/EO1H0581152011356110P1_crop_rm_badbands.tif,hyperion,64,128,2688,2752,dry,0.6,manual_ui,test,dry candidate 20 provisional
