sample_id,scene_id,input_path,sensor,row_start,row_stop,col_start,col_stop,label,confidence,source,split,notes,confidence_tier,valid_ratio,wet_ratio_valid,valid_pixels,dry_pixels,wet_pixels,ignore_pixels,tier1_pixels,tier2_pixels,tier3_pixels,block_row,block_col,block_id,split_policy
confali_00037,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,704,768,1920,1984,dry,0.947998,confidence_ali.tif,test,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.052002,4096,3883,213,0,143,43,27,3,8,block_r003_c008,spatial_block
confali_00038,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,704,768,1984,2048,dry,0.904053,confidence_ali.tif,test,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.999756,0.095726,4095,3703,392,1,128,94,170,3,8,block_r003_c008,spatial_block
confali_00039,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,768,832,1792,1856,wet,0.587349,confidence_ali.tif,test,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,1,0.974854,0.100175,3993,3593,400,103,180,117,103,3,8,block_r003_c008,spatial_block
confali_00040,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,768,832,1856,1920,dry,0.896973,confidence_ali.tif,test,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.947754,0.053581,3882,3674,208,214,127,38,43,3,8,block_r003_c008,spatial_block
confali_00041,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,768,832,1920,1984,wet,0.712462,confidence_ali.tif,test,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,1.000000,0.108398,4096,3652,444,0,137,109,198,3,8,block_r003_c008,spatial_block
confali_00042,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,832,896,1792,1856,dry,0.890381,confidence_ali.tif,test,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.988281,0.099061,4048,3647,401,48,150,108,143,3,8,block_r003_c008,spatial_block
confali_00043,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,832,896,1856,1920,dry,0.949463,confidence_ali.tif,test,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.989014,0.039990,4051,3889,162,45,96,31,35,3,8,block_r003_c008,spatial_block
confali_00044,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,896,960,1664,1728,wet,0.774759,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.971680,0.107035,3980,3554,426,116,99,61,266,4,7,block_r004_c007,spatial_block
confali_00045,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,896,960,1792,1856,wet,0.615872,confidence_ali.tif,test,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.922607,0.101614,3779,3395,384,317,150,83,151,4,8,block_r004_c008,spatial_block
confali_00046,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,960,1024,1600,1664,wet,0.722712,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.994141,0.123527,4072,3569,503,24,175,62,266,4,7,block_r004_c007,spatial_block
confali_00047,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,960,1024,1664,1728,wet,0.762250,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.986328,0.127475,4040,3525,515,56,142,67,306,4,7,block_r004_c007,spatial_block
confali_00048,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,960,1024,1728,1792,wet,0.612116,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,1,0.928467,0.118591,3803,3352,451,293,189,83,179,4,7,block_r004_c007,spatial_block
confali_00049,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1024,1088,1536,1600,wet,0.760655,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.929199,0.184446,3806,3104,702,290,128,126,448,4,6,block_r004_c006,spatial_block
confali_00050,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1024,1088,1600,1664,wet,0.673751,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.981934,0.153158,4022,3406,616,74,228,124,264,4,7,block_r004_c007,spatial_block
confali_00051,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1024,1088,1664,1728,dry,0.853271,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.914795,0.067254,3747,3495,252,349,141,59,52,4,7,block_r004_c007,spatial_block
confali_00052,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1088,1152,1472,1536,wet,0.785202,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.994629,0.137948,4074,3512,562,22,122,111,329,4,6,block_r004_c006,spatial_block
confali_00053,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1088,1152,1536,1600,dry,0.925049,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.074951,4096,3789,307,0,159,36,112,4,6,block_r004_c006,spatial_block
confali_00054,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1088,1152,1600,1664,wet,0.799962,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,3,0.946533,0.138251,3877,3341,536,219,96,57,383,4,7,block_r004_c007,spatial_block
confali_00055,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1152,1216,1408,1472,dry,0.869141,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.958252,0.092994,3925,3560,365,171,90,69,206,5,6,block_r005_c006,spatial_block
confali_00056,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1152,1216,1536,1600,dry,0.892090,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.985840,0.095097,4038,3654,384,58,78,43,263,5,6,block_r005_c006,spatial_block
confali_00057,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1216,1280,1408,1472,dry,0.943115,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.985840,0.043338,4038,3863,175,58,105,33,37,5,6,block_r005_c006,spatial_block
confali_00058,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1280,1344,1280,1344,dry,0.950684,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.975586,0.025526,3996,3894,102,100,62,18,22,5,5,block_r005_c005,spatial_block
confali_00059,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1280,1344,1344,1408,dry,0.948242,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.975830,0.028271,3997,3884,113,99,57,24,32,5,6,block_r005_c006,spatial_block
confali_00060,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1280,1344,1408,1472,dry,0.971924,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.028076,4096,3981,115,0,92,12,11,5,6,block_r005_c006,spatial_block
confali_00061,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1344,1408,1344,1408,wet,0.635625,confidence_ali.tif,train,Generated from confidence_ali.tif using label=wet when wet_ratio_valid >= 0.100,1,0.987061,0.101657,4043,3632,411,53,173,93,145,6,6,block_r006_c006,spatial_block
confali_00062,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1408,1472,1152,1216,dry,0.926025,confidence_ali.tif,train,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,1.000000,0.073975,4096,3793,303,0,154,69,80,6,5,block_r006_c005,spatial_block
confali_00063,hyperion_stack_crop_f16,/home/zennakamura/MasterResearch/HyperSIGMA/HyperspectralDetection/Hyperion_WaterLabel_20111222/data/processed/hyperion/hyperion_stack_crop_f16.tif,hyperion,1472,1536,1088,1152,dry,0.902832,confidence_ali.tif,val,Generated from confidence_ali.tif using label=dry when wet_ratio_valid < 0.100,0,0.975098,0.074111,3994,3698,296,102,160,69,67,6,4,block_r006_c004,spatial_block
